年份,得獎,中文名稱,英文名稱,連結,movieGrading,movieDuration,movieRating,movieComment,movieDirector,movieWriter,movieCast1,movieCast2,movieCast3,movieCast4,movieCast5,movieCast6,movieCast7,movieCast8,movieCast9,movieCast10,movieCast11,movieCast12,movieCast13,movieCast14,movieCast15,movieCast16,movieCast17,movieCast18,movieCountry,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,History,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
2002,1,美麗境界,A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=ev_nom,12+,2h 15m,8.2,961K,Ron Howard,"Akiva Goldsman, Sylvia Nasar",Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer', 'Paul Bettany', 'Adam Goldberg', 'Josh Lucas', 'Anthony Rapp', 'Jason Gray-Stanford', 'Judd Hirsch', 'Austin Pendleton', 'Vivien Cardone', 'Jillie Simon', 'Victor Steinbach', 'Tanya Clarke', 'Thomas F. Walsh', 'Jesse Doran', 'Kent Cassella',United States,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2002,0,意外邊緣,In the Bedroom,https://www.imdb.com/title/tt0247425/?ref_=ev_nom,12+,2h 11m,7.4,41K,Todd Field,"Andre Dubus, Robert Festinger, Todd Field",Tom Wilkinson', 'Sissy Spacek', 'Nick Stahl', 'Marisa Tomei', 'William Mapother', 'William Wise', 'Celia Weston', 'Karen Allen', 'Frank T. Wells', 'W. Clapham Murray', 'Justin Ashforth', 'Terry A. Burgess', 'Jonathan Walsh', 'Diane E. Hamlin', 'Camden Munson', 'Christopher Adams', 'Henry Field', 'Deborah Derecktor',United States,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2002,0,紅磨坊,Moulin Rouge!,https://www.imdb.com/title/tt0203009/?ref_=ev_nom,PG-13G-13,2h 7m,7.6,294K,Baz Luhrmann,"Baz Luhrmann, Craig Pearce",Nicole Kidman', 'Ewan McGregor', 'John Leguizamo', 'Jim Broadbent', 'Richard Roxburgh', 'Garry McDonald', 'Jacek Koman', 'Matthew Whittet', 'Kerry Walker'," ""Caroline O'Connor""", 'Christine Anu', 'Natalie Mendoza', 'Lara Mulcahy', 'David Wenham', 'Kylie Minogue', 'Ozzy Osbourne', 'Deobia Oparei', 'Linal Haft',Australia,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2002,0,謎霧莊園,Gosford Park,https://www.imdb.com/title/tt0280707/?ref_=ev_nom,R,2h 17m,7.2,92K,Robert Altman,"Julian Fellowes, Robert Altman, Bob Balaban",Maggie Smith', 'Ryan Phillippe', 'Michael Gambon', 'Kristin Scott Thomas', 'Camilla Rutherford', 'Charles Dance', 'Geraldine Somerville', 'Tom Hollander', 'Natasha Wightman', 'Jeremy Northam', 'Bob Balaban', 'James Wilby', 'Claudie Blakley', 'Laurence Fox', 'Trent Ford', 'Stephen Fry', 'Ron Webster', 'Kelly Macdonald',United States,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2002,0,魔戒首部曲：魔戒現身,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=ev_nom,6+,2h 58m,8.8,1.9M,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean', 'Alan Howard', 'Noel Appleby', 'Sean Astin', 'Sala Baker', 'Billy Boyd', 'Andy Serkis', 'Marton Csokas', 'Viggo Mortensen', 'Megan Edwards', 'Michael Elsworth', 'Cate Blanchett', 'Mark Ferguson', 'Ian Holm', 'Christopher Lee',New Zealand,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2003,1,芝加哥,Chicago,https://www.imdb.com/title/tt0299658/?ref_=ev_nom,PG-13,1h 53m,7.2,237K,Rob Marshall,"Bill Condon, Bob Fosse, Fred Ebb",Ren矇e Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs', 'Cliff Saunders', 'Dominic West', 'Jayne Eastwood', 'Bruce Beaton', 'Roman Podhora', 'John C. Reilly', 'Colm Feore', 'Rob Smith', 'Sean Wayne Doyle', 'Steve Behal', 'Robbie Rox', 'Chita Rivera', 'Queen Latifah', 'Susan Misner',United States,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2003,0,戰地琴人,The Pianist,https://www.imdb.com/title/tt0253474/?ref_=ev_nom,12+,2h 30m,8.5,874K,Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman",Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox', 'Michal Zebrowski', 'Ed Stoppard', 'Maureen Lipman', 'Jessica Kate Meyer', 'Julia Rayner', 'Wanja Mues', 'Richard Ridings', 'Nomi Sharron', 'Anthony Milner', 'Lucy Skeaping', 'Roddy Skeaping', 'Ben Harlan', 'Thomas Lawinky', 'Joachim Paul Assb繹ck',France,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
2003,0,時時刻刻,The Hours,https://www.imdb.com/title/tt0274558/?ref_=ev_nom,6+,1h 50m,7.5,136K,Stephen Daldry,"Michael Cunningham, David Hare",Meryl Streep', 'Nicole Kidman', 'Julianne Moore', 'Stephen Dillane', 'Miranda Richardson', 'George Loftus', 'Charley Ramm', 'Sophie Wyburd', 'Lyndsey Marshal', 'Linda Bassett', 'Christian Coulson', 'Michael Culkin', 'John C. Reilly', 'Jack Rovello', 'Toni Collette', 'Margo Martindale', 'Colin Stinton', 'Ed Harris',United States,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2003,0,紐約黑幫,Gangs of New York,https://www.imdb.com/title/tt0217505/?ref_=ev_nom,R,2h 47m,7.5,459K,Martin Scorsese,"Jay Cocks, Steven Zaillian, Kenneth Lonergan",Leonardo DiCaprio', 'Cameron Diaz', 'Daniel Day-Lewis', 'Jim Broadbent', 'John C. Reilly', 'Henry Thomas', 'Liam Neeson', 'Brendan Gleeson', 'Gary Lewis', 'Stephen Graham', 'Eddie Marsan', 'Alec McCowen', 'David Hemmings', 'Lawrence Gilliard Jr.', 'Cara Seymour', 'Roger Ashton-Griffiths', 'Peter-Hugo Daly', 'Cian McCormack',Italy,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2003,0,魔戒二部曲：雙城奇謀,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=ev_nom,6+,2h 59m,8.8,1.7M,Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens",Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom', 'Bruce Allpress', 'Sean Astin', 'John Bach', 'Sala Baker', 'Cate Blanchett', 'Billy Boyd', 'Jed Brophy', 'Sam Comery', 'Brad Dourif', 'Calum Gittins', 'Bernard Hill', 'Bruce Hopkins', 'Paris Howe Strewe', 'Christopher Lee',New Zealand,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
