¦~¥÷,±o¼ú,¤¤¤å¦WºÙ,­^¤å¦WºÙ,³sµ²
2010,0,¤Ñ¥~©_ÂÝ,Up,https://www.imdb.com/title/tt1049413/?ref_=ev_nom
2010,0,´c´Ò¯S¤u,Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=ev_nom
2010,0,§ð¨ä¤£³Æ,The Blind Side,https://www.imdb.com/title/tt0878804/?ref_=ev_nom
2010,0,¥¿¸g¦n¤H,A Serious Man,https://www.imdb.com/title/tt1019452/?ref_=ev_nom
2010,0,¬Ã·R¤H¥Í,Precious,https://www.imdb.com/title/tt0929632/?ref_=ev_nom
2010,0,²Ä¤E¸T°Ï,District 9,https://www.imdb.com/title/tt1136608/?ref_=ev_nom
2010,0,ªü¤Z¹F,Avatar,https://www.imdb.com/title/tt0499549/?ref_=ev_nom
2011,1,¤ýªÌ¤§Án¡G«Å¾Ô®É¨è,The King's Speech,https://www.imdb.com/title/tt1504320/?ref_=ev_nom
2011,0,127¤p®É,127 Hours,https://www.imdb.com/title/tt1542344/?ref_=ev_nom
2011,0,¥þ­±±Ò°Ê,Inception,https://www.imdb.com/title/tt1375666/?ref_=ev_nom
2011,0,¦B«Ê¤§¤ß,Winter's Bone,https://www.imdb.com/title/tt1399683/?ref_=ev_nom
2011,0,©ÊºÖ©ÔÄµ³ø,The Kids Are All Right,https://www.imdb.com/title/tt0842926/?ref_=ev_nom
2011,0,¿U¿N°«»î,The Fighter,https://www.imdb.com/title/tt0964517/?ref_=ev_nom
2011,0,ª±¨ãÁ`°Ê­û3,Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=ev_nom
2011,0,¯u¹êªº«i®ð,True Grit,https://www.imdb.com/title/tt1403865/?ref_=ev_nom
2011,0,ªÀ¸sºô¾Ô,The Social Network,https://www.imdb.com/title/tt1285016/?ref_=ev_nom
2011,0,¶Â¤ÑÃZ,Black Swan,https://www.imdb.com/title/tt0947798/?ref_=ev_nom
2012,1,¤jÃÀ³N®a,The Artist,https://www.imdb.com/title/tt1655442/?ref_=ev_nom
2012,0,¤È©]¡D¤Ú¾¤,Midnight in Paris,https://www.imdb.com/title/tt1605783/?ref_=ev_nom
2012,0,©n©f,The Help,https://www.imdb.com/title/tt1454029/?ref_=ev_nom
2012,0,¤ßÆFÆ_°Í,Extremely Loud & Incredibly Close,https://www.imdb.com/title/tt0477302/?ref_=ev_nom
2012,0,¾Ô°¨,War Horse,https://www.imdb.com/title/tt1568911/?ref_=ev_nom
2012,0,¥Ã¥Í¾ð,The Tree of Life,https://www.imdb.com/title/tt0478304/?ref_=ev_nom
